馬番1,馬番2,馬単(1→2),馬単(2→1),馬連
1,2,15607.9,15447.8,8281.3
1,3,6220.3,6027.4,3265.2
1,4,542.1,329.3,218.5
1,5,1569.3,1360.1,777.2
1,6,19431.4,19284.7,10324.2
1,7,1769.1,1560.5,884.4
1,8,13553.5,13386.2,7183.6
1,9,10129.4,9950.2,5354.1
1,10,11556.1,11381.8,6116.4
1,11,6505.7,6313.7,3417.7
1,12,15807.6,15648.2,8388.0
1,13,12840.1,12670.4,6802.5
1,14,1284.0,1073.7,623.7
2,3,1567.8,1534.9,827.3
2,4,136.6,83.8,55.4
2,5,395.5,346.4,197.0
2,6,4897.6,4911.0,2615.6
2,7,445.9,397.4,224.1
2,8,3416.1,3408.9,1820.0
2,9,2553.1,2533.9,1356.5
2,10,2912.6,2898.4,1549.6
2,11,1639.7,1607.8,865.9
2,12,3984.2,3984.9,2125.1
2,13,3236.3,3226.6,1723.4
2,14,323.6,273.4,158.1
3,4,53.3,33.4,21.9
3,5,154.3,138.0,77.7
3,6,1910.9,1957.2,1031.3
3,7,174.0,158.4,88.4
3,8,1332.9,1358.6,717.6
3,9,996.1,1009.8,534.9
3,10,1136.4,1155.1,611.0
3,11,639.8,640.8,341.5
3,12,1554.5,1588.1,838.0
3,13,1262.7,1285.9,679.6
3,14,126.3,109.0,62.4
4,5,8.4,12.0,5.3
4,6,104.4,170.6,69.1
4,7,9.5,13.8,6.0
4,8,72.8,118.4,48.1
4,9,54.4,88.0,35.9
4,10,62.1,100.7,41.0
4,11,34.9,55.8,22.9
4,12,84.9,138.4,56.1
4,13,69.0,112.1,45.5
4,14,6.9,9.5,4.3
5,6,431.2,493.8,245.5
5,7,39.3,40.0,21.1
5,8,300.8,342.8,170.9
5,9,224.8,254.8,127.4
5,10,256.4,291.4,145.5
5,11,144.4,161.7,81.3
5,12,350.8,400.7,199.5
5,13,284.9,324.4,161.8
5,14,28.5,27.5,14.9
6,7,556.6,494.7,279.4
6,8,4264.5,4243.9,2268.9
6,9,3187.2,3154.6,1691.1
6,10,3636.1,3608.5,1931.9
6,11,2047.0,2001.7,1079.5
6,12,4973.8,4961.1,2649.3
6,13,4040.1,4017.0,2148.5
6,14,404.0,340.4,197.1
7,8,345.1,386.4,194.4
7,9,257.9,287.2,144.9
7,10,294.2,328.5,165.6
7,11,165.6,182.2,92.6
7,12,402.5,451.7,227.0
7,13,326.9,365.7,184.1
7,14,32.7,31.0,17.0
8,9,2212.3,2200.3,1176.7
8,10,2523.9,2516.9,1344.2
8,11,1420.9,1396.2,751.2
8,12,3452.5,3460.4,1843.4
8,13,2804.4,2801.9,1495.0
8,14,280.4,237.4,137.1
9,10,1876.1,1881.1,1001.9
9,11,1056.2,1043.5,559.9
9,12,2566.3,2586.2,1374.0
9,13,2084.5,2094.0,1114.3
9,14,208.5,177.5,102.2
10,11,1208.1,1190.4,639.6
10,12,2935.5,2950.4,1569.6
10,13,2384.5,2389.0,1272.9
10,14,238.4,202.5,116.8
11,12,1628.4,1661.0,877.1
11,13,1322.7,1344.9,711.3
11,14,132.3,114.0,65.3
12,13,3278.3,3267.9,1745.6
12,14,327.8,276.9,160.1
13,14,265.4,224.9,129.9
