馬番1,馬番2,馬単(1→2),馬単(2→1),馬連
1,2,14622.4,14578.9,7787.0
1,3,1263.2,1141.6,639.7
1,4,5779.8,5684.5,3056.9
1,5,6143.2,6050.1,3251.3
1,6,2716.8,2603.7,1418.2
1,7,3114.8,3004.0,1631.2
1,8,1055.6,932.7,528.2
1,9,4758.8,4657.6,2510.7
1,10,2682.2,2568.9,1399.6
1,11,1713.2,1594.2,880.8
1,12,4118.5,4013.6,2168.2
1,13,4828.0,4727.2,2547.8
1,14,1038.3,915.3,518.9
1,15,5762.5,5667.1,3047.7
1,16,1505.5,1385.3,769.5
1,17,12632.4,12577.3,6722.5
1,18,8340.8,8260.6,4427.0
1,19,2664.9,2551.5,1390.4
1,20,2422.7,2307.8,1260.7
1,21,12061.3,12002.9,6417.1
1,22,37412.7,37502.4,19977.3
1,23,6471.9,6380.8,3427.2
1,24,3997.4,3891.7,2103.4
2,3,834.7,756.6,423.3
2,4,3819.1,3767.4,2023.0
2,5,4059.2,4009.6,2151.6
2,6,1795.2,1725.6,938.5
2,7,2058.2,1990.9,1079.5
2,8,697.5,618.2,349.6
2,9,3144.5,3086.8,1661.5
2,10,1772.3,1702.5,926.3
2,11,1132.0,1056.5,582.9
2,12,2721.4,2660.0,1434.8
2,13,3190.2,3132.9,1686.0
2,14,686.1,606.6,343.4
2,15,3807.7,3755.9,2016.8
2,16,994.8,918.1,509.3
2,17,8347.2,8335.5,4448.7
2,18,5511.4,5474.7,2929.6
2,19,1760.9,1691.0,920.1
2,20,1600.8,1529.5,834.3
2,21,7969.8,7954.8,4246.6
2,22,24721.3,24854.6,13220.1
2,23,4276.5,4228.8,2268.0
2,24,2641.4,2579.2,1392.0
3,4,299.1,325.5,166.2
3,5,317.9,346.4,176.8
3,6,140.6,149.1,77.2
3,7,161.2,172.0,88.8
3,8,54.6,53.4,28.8
3,9,246.2,266.7,136.6
3,10,138.8,147.1,76.2
3,11,88.6,91.3,48.0
3,12,213.1,229.8,117.9
3,13,249.8,270.7,138.6
3,14,53.7,52.4,28.3
3,15,298.2,324.5,165.7
3,16,77.9,79.3,41.9
3,17,653.6,720.1,365.5
3,18,431.6,473.0,240.7
3,19,137.9,146.1,75.7
3,20,125.4,132.1,68.6
3,21,624.1,687.2,348.9
3,22,1935.8,2147.2,1085.9
3,23,334.9,365.3,186.4
3,24,206.8,222.8,114.4
4,5,1582.8,1584.9,844.7
4,6,700.0,682.1,368.5
4,7,802.5,786.9,423.8
4,8,272.0,244.3,137.3
4,9,1226.1,1220.1,652.3
