馬番1,馬番2,馬単(1→2),馬単(2→1),馬連
1,2,587.3,569.5,308.4
1,3,8541.7,8715.0,4601.3
1,4,302.1,277.4,154.2
1,5,293.7,268.8,149.7
1,6,532.8,513.7,279.0
1,7,2051.5,2068.9,1098.7
1,8,700.6,685.5,369.6
1,9,499.2,479.3,260.8
1,10,398.6,376.2,206.4
1,11,969.1,960.4,514.5
1,12,151.0,122.7,72.2
1,13,314.6,290.3,161.0
1,14,784.5,771.4,414.9
1,15,889.4,878.8,471.5
1,16,3255.6,3301.8,1748.6
1,17,1095.0,1089.3,582.5
2,3,3657.7,3848.9,2000.5
2,4,129.4,122.5,67.1
2,5,125.8,118.7,65.1
2,6,228.2,226.8,121.3
2,7,878.5,913.7,477.7
2,8,300.0,302.7,160.7
2,9,213.8,211.7,113.5
2,10,170.7,166.1,89.8
2,11,415.0,424.2,223.8
2,12,64.7,54.2,31.5
2,13,134.7,128.2,70.1
2,14,336.0,340.7,180.4
2,15,380.9,388.1,205.0
2,16,1394.1,1458.2,760.2
2,17,468.9,481.1,253.3
3,4,1979.4,1781.4,1000.1
3,5,1924.4,1726.2,970.6
3,6,3491.5,3299.0,1809.4
3,7,13443.6,13287.7,7128.1
3,8,4591.2,4402.7,2397.3
3,9,3271.6,3078.3,1691.7
3,10,2611.7,2416.1,1338.7
3,11,6350.7,6168.7,3337.8
3,12,989.7,788.1,468.0
3,13,2061.9,1864.2,1044.3
3,14,5141.0,4954.6,2691.2
3,15,5828.3,5644.4,3058.6
3,16,21333.8,21206.8,11344.1
3,17,7175.4,6996.5,3778.6
4,5,61.2,61.0,32.6
4,6,111.1,116.7,60.7
4,7,427.9,469.9,238.9
4,8,146.1,155.7,80.4
4,9,104.1,108.9,56.8
4,10,83.1,85.4,44.9
4,11,202.1,218.1,111.9
4,12,31.5,27.9,15.8
4,13,65.6,65.9,35.1
4,14,163.6,175.2,90.2
4,15,185.5,199.6,102.6
4,16,679.0,749.9,380.1
4,17,228.4,247.4,126.7
5,6,107.7,113.4,58.9
5,7,414.6,456.8,231.8
5,8,141.6,151.4,78.0
5,9,100.9,105.8,55.1
5,10,80.5,83.1,43.6
5,11,195.9,212.1,108.6
5,12,30.5,27.1,15.3
5,13,63.6,64.1,34.0
5,14,158.5,170.3,87.6
5,15,179.7,194.1,99.5
5,16,657.9,729.1,368.9
5,17,221.3,240.5,122.9
6,7,792.4,828.8,432.1
6,8,270.6,274.6,145.4
6,9,192.8,192.0,102.6
6,10,153.9,150.7,81.2
6,11,374.3,384.8,202.4
6,12,58.3,49.2,28.5
6,13,121.5,116.3,63.4
6,14,303.0,309.1,163.2
6,15,343.5,352.1,185.5
6,16,1257.4,1322.8,687.6
6,17,422.9,436.4,229.1
7,8,1089.9,1057.4,572.5
7,9,776.6,739.3,404.0
7,10,620.0,580.3,319.7
7,11,1507.6,1481.6,797.0
7,12,234.9,189.3,111.8
7,13,489.5,447.7,249.4
7,14,1220.4,1190.0,642.7
7,15,1383.6,1355.7,730.4
7,16,5064.4,5093.4,2708.7
7,17,1703.4,1680.4,902.3
8,9,257.3,252.5,135.9
8,10,205.4,198.2,107.6
8,11,499.5,506.0,268.1
8,12,77.8,64.6,37.7
8,13,162.2,152.9,84.0
8,14,404.4,406.4,216.2
8,15,458.4,463.0,245.7
8,16,1678.1,1739.5,911.0
8,17,564.4,573.9,303.5
9,10,143.6,141.2,76.0
9,11,349.3,360.5,189.2
9,12,54.4,46.1,26.6
9,13,113.4,109.0,59.3
9,14,282.7,289.6,152.6
9,15,320.5,329.9,173.4
9,16,1173.3,1239.5,642.9
9,17,394.6,408.9,214.2
10,11,274.1,287.8,149.8
10,12,42.7,36.8,21.1
10,13,89.0,87.0,46.9
10,14,221.9,231.2,120.8
10,15,251.6,263.4,137.2
10,16,920.9,989.5,508.8
10,17,309.7,326.5,169.5
11,12,109.1,89.4,52.4
11,13,227.2,211.5,116.8
11,14,566.6,562.1,301.0
11,15,642.3,640.4,342.1
11,16,2351.1,2406.1,1268.4
11,17,790.8,793.8,422.6
12,13,29.0,33.0,16.5
12,14,72.4,87.6,42.3
12,15,82.1,99.8,48.0
12,16,300.4,375.0,177.9
12,17,101.0,123.7,59.3
13,14,171.2,182.5,94.2
13,15,194.1,207.9,107.1
13,16,710.5,781.2,396.9
13,17,239.0,257.7,132.3
14,15,515.9,518.4,275.8
14,16,1888.4,1947.8,1022.7
14,17,635.1,642.6,340.7
15,16,2151.3,2208.2,1162.3
15,17,723.6,728.5,387.2
16,17,2718.6,2666.6,1435.9
