種別,1着,2着,オッズ
馬単,1,2,112.0
馬単,1,3,25.3
馬単,1,4,4.4
馬単,1,5,68.9
馬単,1,6,83.5
馬単,1,7,36.5
馬単,1,8,145.9
馬単,1,9,48.9
馬単,1,10,126.8
馬単,1,11,67.6
馬単,1,12,17.7
馬単,1,13,30.6
馬単,1,14,47.8
馬単,1,15,23.5
馬単,1,16,49.2
馬単,2,1,190.0
馬単,2,3,1900.4
馬単,2,4,327.3
馬単,2,5,5173.3
馬単,2,6,6271.3
馬単,2,7,2745.0
馬単,2,8,10958.9
馬単,2,9,3674.1
馬単,2,10,9523.1
馬単,2,11,5078.3
馬単,2,12,1330.3
馬単,2,13,2301.6
馬単,2,14,3589.6
馬単,2,15,1763.1
馬単,2,16,3695.2
馬単,3,1,41.5
馬単,3,2,1838.6
馬単,3,4,71.5
馬単,3,5,1130.4
馬単,3,6,1370.3
馬単,3,7,599.8
馬単,3,8,2394.6
馬単,3,9,802.8
馬単,3,10,2080.8
馬単,3,11,1109.6
馬単,3,12,290.7
馬単,3,13,502.9
馬単,3,14,784.3
馬単,3,15,385.3
馬単,3,16,807.4
馬単,4,1,5.7
馬単,4,2,250.6
馬単,4,3,56.6
馬単,4,5,154.1
馬単,4,6,186.8
馬単,4,7,81.7
馬単,4,8,326.3
馬単,4,9,109.4
馬単,4,10,283.6
馬単,4,11,151.2
馬単,4,12,39.6
馬単,4,13,68.5
馬単,4,14,106.9
馬単,4,15,52.5
馬単,4,16,110.0
馬単,5,1,116.1
馬単,5,2,5142.5
馬単,5,3,1161.4
馬単,5,4,200.0
馬単,5,6,3832.7
馬単,5,7,1677.6
馬単,5,8,6697.6
馬単,5,9,2245.4
馬単,5,10,5820.0
馬単,5,11,3103.6
馬単,5,12,813.0
馬単,5,13,1406.6
馬単,5,14,2193.8
馬単,5,15,1077.5
馬単,5,16,2258.3
馬単,6,1,141.2
馬単,6,2,6251.0
馬単,6,3,1411.8
馬単,6,4,243.1
馬単,6,5,3843.1
馬単,6,7,2039.2
馬単,6,8,8141.1
馬単,6,9,2729.4
馬単,6,10,7074.5
馬単,6,11,3772.5
馬単,6,12,988.2
馬単,6,13,1709.8
馬単,6,14,2666.7
馬単,6,15,1309.8
馬単,6,16,2745.1
馬単,7,1,60.8
馬単,7,2,2691.2
馬単,7,3,607.8
馬単,7,4,104.7
馬単,7,5,1654.6
馬単,7,6,2005.8
馬単,7,8,3505.0
馬単,7,9,1175.1
馬単,7,10,3045.8
馬単,7,11,1624.2
馬単,7,12,425.5
馬単,7,13,736.1
馬単,7,14,1148.1
馬単,7,15,563.9
馬単,7,16,1181.8
馬単,8,1,248.0
馬単,8,2,10983.1
馬単,8,3,2480.5
馬単,8,4,427.2
馬単,8,5,6752.4
馬単,8,6,8185.6
馬単,8,7,3582.9
馬単,8,9,4795.6
馬単,8,10,12430.0
馬単,8,11,6628.4
馬単,8,12,1736.3
馬単,8,13,3004.1
馬単,8,14,4685.4
馬単,8,15,2301.3
馬単,8,16,4823.2
馬単,9,1,82.0
馬単,9,2,3629.1
馬単,9,3,819.6
馬単,9,4,141.2
馬単,9,5,2231.2
馬単,9,6,2704.8
馬単,9,7,1183.9
馬単,9,8,4726.5
馬単,9,10,4107.2
馬単,9,11,2190.2
馬単,9,12,573.7
馬単,9,13,992.7
馬単,9,14,1548.2
馬単,9,15,760.4
馬単,9,16,1593.7
馬単,10,1,215.3
馬単,10,2,9533.6
馬単,10,3,2153.1
馬単,10,4,370.8
馬単,10,5,5861.3
馬単,10,6,7105.3
馬単,10,7,3110.1
馬単,10,8,12416.4
馬単,10,9,4162.7
馬単,10,11,5753.6
馬単,10,12,1507.2
馬単,10,13,2607.7
馬単,10,14,4067.0
馬単,10,15,1997.6
馬単,10,16,4186.6
馬単,11,1,114.0
馬単,11,2,5046.6
馬単,11,3,1139.8
馬単,11,4,196.3
馬単,11,5,3102.7
馬単,11,6,3761.2
馬単,11,7,1646.3
馬単,11,8,6572.6
馬単,11,9,2203.5
馬単,11,10,5711.5
馬単,11,12,797.8
馬単,11,13,1380.4
馬単,11,14,2152.9
馬単,11,15,1057.4
馬単,11,16,2216.2
馬単,12,1,28.5
馬単,12,2,1263.1
馬単,12,3,285.3
馬単,12,4,49.1
馬単,12,5,776.5
馬単,12,6,941.4
馬単,12,7,412.0
馬単,12,8,1645.0
馬単,12,9,551.5
馬単,12,10,1429.5
馬単,12,11,762.3
馬単,12,13,345.5
馬単,12,14,538.8
馬単,12,15,264.7
馬単,12,16,554.7
馬単,13,1,50.7
馬単,13,2,2243.6
馬単,13,3,506.7
馬単,13,4,87.3
馬単,13,5,1379.4
馬単,13,6,1672.1
馬単,13,7,731.9
馬単,13,8,2922.0
馬単,13,9,979.6
馬単,13,10,2539.2
馬単,13,11,1354.0
馬単,13,12,354.7
馬単,13,14,957.1
馬単,13,15,470.1
馬単,13,16,985.3
馬単,14,1,80.0
馬単,14,2,3543.9
馬単,14,3,800.4
馬単,14,4,137.8
馬単,14,5,2178.8
馬単,14,6,2641.2
馬単,14,7,1156.1
馬単,14,8,4615.5
馬単,14,9,1547.4
馬単,14,10,4010.7
馬単,14,11,2138.8
馬単,14,12,560.3
馬単,14,13,969.3
馬単,14,15,742.6
馬単,14,16,1556.3
馬単,15,1,38.4
馬単,15,2,1700.0
馬単,15,3,384.0
馬単,15,4,66.1
馬単,15,5,1045.2
馬単,15,6,1267.0
馬単,15,7,554.6
馬単,15,8,2214.1
馬単,15,9,742.3
馬単,15,10,1924.0
馬単,15,11,1026.0
馬単,15,12,268.8
馬単,15,13,465.0
馬単,15,14,725.2
馬単,15,16,746.6
馬単,16,1,82.4
馬単,16,2,3650.4
馬単,16,3,824.4
馬単,16,4,142.0
馬単,16,5,2244.3
馬単,16,6,2720.7
馬単,16,7,1190.9
馬単,16,8,4754.3
馬単,16,9,1593.9
馬単,16,10,4131.4
馬単,16,11,2203.1
馬単,16,12,577.1
馬単,16,13,998.5
馬単,16,14,1557.3
馬単,16,15,764.9
馬連,1,2,70.5
馬連,1,3,15.7
馬連,1,4,2.5
馬連,1,5,43.2
馬連,1,6,52.5
馬連,1,7,22.8
馬連,1,8,91.9
馬連,1,9,30.6
馬連,1,10,79.8
馬連,1,11,42.4
馬連,1,12,10.9
馬連,1,13,19.1
馬連,1,14,29.9
馬連,1,15,14.6
馬連,1,16,30.8
馬連,2,3,934.5
馬連,2,4,141.9
馬連,2,5,2578.9
馬連,2,6,3130.6
馬連,2,7,1358.9
馬連,2,8,5485.5
馬連,2,9,1825.7
馬連,2,10,4764.2
馬連,2,11,2531.2
馬連,2,12,647.9
馬連,2,13,1136.1
馬連,2,14,1783.3
馬連,2,15,865.5
馬連,2,16,1836.3
馬連,3,4,31.6
