馬番1,馬番2,馬単(1→2),馬単(2→1),馬連
1,2,787.4,797.0,422.5
1,3,126.8,111.2,63.2
1,4,671.1,676.3,359.3
1,5,679.1,684.5,363.6
1,7,1128.2,1150.8,607.7
1,8,66.1,48.1,29.7
1,9,2312.0,2379.6,1250.8
1,10,399.0,393.7,211.4
1,11,129.5,114.0,64.7
1,12,280.1,270.3,146.7
1,13,594.5,596.7,317.7
1,14,462.4,459.6,245.9
1,15,845.5,857.3,454.1
1,16,1241.9,1268.7,669.4
1,17,1376.6,1408.6,742.6
2,3,188.4,163.3,93.3
2,4,997.2,992.7,530.6
2,5,1009.0,1004.8,537.0
2,7,1676.4,1689.3,897.5
2,8,98.1,70.7,43.8
2,9,3435.2,3493.2,1847.4
2,10,592.8,578.0,312.2
2,11,192.4,167.3,95.4
2,12,416.1,396.8,216.7
2,13,883.3,876.0,469.1
2,14,687.0,674.6,363.1
2,15,1256.3,1258.5,670.6
2,16,1845.2,1862.5,988.7
2,17,2045.4,2067.8,1096.8
3,4,139.2,159.9,79.4
3,5,140.8,161.9,80.3
3,7,234.0,272.1,134.2
3,8,13.7,11.4,6.6
3,9,479.4,562.7,276.1
3,10,82.7,93.1,46.7
3,11,26.8,26.9,14.3
3,12,58.1,63.9,32.5
3,13,123.3,141.1,70.2
3,14,95.9,108.7,54.3
3,15,175.3,202.7,100.3
3,16,257.5,300.0,147.8
3,17,285.5,333.1,164.0
4,5,856.2,856.5,456.7
4,7,1422.5,1439.9,763.3
4,8,83.3,60.2,37.3
4,9,2914.9,2977.5,1571.1
4,10,503.0,492.7,265.5
4,11,163.2,142.6,81.2
4,12,353.1,338.2,184.3
4,13,749.6,746.6,399.0
4,14,583.0,575.0,308.8
4,15,1066.0,1072.7,570.3
4,16,1565.7,1587.5,840.8
4,17,1735.6,1762.5,932.8
5,7,1439.8,1456.9,772.4
5,8,84.3,60.9,37.7
5,9,2950.4,3012.6,1590.0
5,10,509.2,498.5,268.7
5,11,165.2,144.3,82.2
5,12,357.4,342.2,186.5
5,13,758.7,755.5,403.8
5,14,590.1,581.8,312.5
5,15,1079.0,1085.4,577.2
5,16,1584.8,1606.2,850.9
5,17,1756.8,1783.3,944.0
7,8,141.7,101.3,63.0
7,9,4960.3,5005.4,2657.5
7,10,856.0,828.2,449.0
7,11,277.8,239.7,137.3
7,12,600.9,568.6,311.6
7,13,1275.5,1255.2,674.8
7,14,992.1,966.7,522.2
7,15,1814.1,1803.3,964.6
7,16,2664.4,2668.7,1422.2
7,17,2953.5,2963.0,1577.7
8,9,207.5,293.1,129.6
8,10,35.8,48.5,22.0
8,11,11.6,14.0,6.8
8,12,25.1,33.3,15.3
8,13,53.4,73.5,33.0
8,14,41.5,56.6,25.5
8,15,75.9,105.6,47.1
8,16,111.5,156.2,69.4
8,17,123.5,173.5,77.0
9,10,1770.1,1697.2,924.2
9,11,574.4,491.2,282.4
9,12,1242.6,1165.1,641.4
9,13,2637.5,2572.1,1389.0
9,14,2051.4,1980.9,1075.0
9,15,3751.1,3695.3,1985.6
9,16,5509.5,5468.7,2927.5
9,17,6107.3,6071.7,3247.7
10,11,95.0,84.8,47.8
10,12,205.6,201.1,108.4
10,13,436.4,443.9,234.7
10,14,339.4,341.9,181.7
10,15,620.7,637.7,335.5
10,16,911.6,943.7,494.6
10,17,1010.6,1047.8,548.7
11,12,59.5,65.2,33.2
11,13,126.3,144.0,71.8
11,14,98.2,110.9,55.6
11,15,179.7,206.9,102.6
11,16,263.9,306.2,151.2
11,17,292.5,340.0,167.7
12,13,299.6,311.6,162.9
12,14,233.0,240.0,126.1
12,15,426.1,447.7,232.9
12,16,625.9,662.5,343.3
12,17,693.8,735.5,380.8
13,14,514.4,509.4,273.0
13,15,940.6,950.2,504.2
13,16,1381.6,1406.2,743.4
13,17,1531.5,1561.3,824.7
14,15,724.5,739.1,390.2
14,16,1064.0,1093.7,575.3
14,17,1179.5,1214.3,638.2
15,16,1984.9,2000.0,1062.6
15,17,2200.3,2220.5,1178.8
16,17,3256.2,3261.4,1738.0
