馬番1,馬番2,馬単(1→2),馬単(2→1),馬連
1,2,8073.9,8310.9,4368.4
1,3,274.1,259.0,142.1
1,4,5139.6,5281.8,2778.5
1,5,118.4,98.2,57.3
1,6,339.5,326.5,177.6
1,7,912.7,918.2,488.2
1,8,283.5,268.7,147.1
1,9,9799.6,10092.3,5303.3
1,10,1784.9,1818.6,960.8
1,11,10939.6,11269.2,5921.0
1,12,975.0,982.5,522.0
1,13,177.6,159.3,89.6
1,14,127.7,107.9,62.4
1,15,657.2,654.5,349.8
1,16,464.1,455.2,245.1
1,17,14116.8,14549.1,7642.5
1,18,361.3,349.1,189.4
2,3,3072.9,2820.9,1568.8
2,4,57617.2,57522.4,30703.9
2,5,1326.9,1069.8,631.8
2,6,3806.2,3556.3,1961.1
2,7,10231.4,10000.0,5394.3
2,8,3177.7,2925.9,1624.9
2,9,109856.9,109912.7,58605.2
2,10,20008.9,19805.7,10616.9
2,11,122637.4,122730.1,65431.3
2,12,10929.8,10700.4,5767.4
2,13,1990.4,1735.2,988.8
2,14,1431.7,1174.9,688.3
2,15,7368.0,7128.3,3864.6
2,16,5203.0,4957.1,2707.8
2,17,158255.4,158450.7,84454.9
2,18,4050.7,3801.4,2091.8
3,4,1795.7,1952.9,997.9
3,5,41.4,36.3,20.6
3,6,118.6,120.7,63.8
3,7,318.9,339.5,175.4
3,8,99.0,99.3,52.9
3,9,3423.8,3731.6,1904.6
3,10,623.6,672.4,345.1
3,11,3822.1,4166.8,2126.4
3,12,340.6,363.3,187.5
3,13,62.0,58.9,32.2
3,14,44.6,39.9,22.5
3,15,229.6,242.0,125.7
3,16,162.2,168.3,88.1
3,17,4932.1,5379.5,2744.6
3,18,126.2,129.1,68.1
4,5,843.3,681.0,401.9
4,6,2419.0,2263.8,1247.4
4,7,6502.3,6365.7,3431.1
4,8,2019.5,1862.6,1033.5
4,9,69817.0,69967.5,37275.8
4,10,12716.2,12607.8,6752.9
4,11,77939.3,78126.8,41617.6
4,12,6946.2,6811.6,3668.4
4,13,1265.0,1104.6,629.0
4,14,909.9,747.9,437.9
4,15,4682.6,4537.7,2458.1
4,16,3306.7,3155.6,1722.3
4,17,100575.5,100865.6,53717.5
4,18,2574.3,2419.9,1330.5
5,6,45.0,52.1,25.8
5,7,120.9,146.6,70.7
5,8,37.6,42.9,21.4
5,9,1298.5,1611.4,767.0
5,10,236.5,290.4,139.0
5,11,1449.6,1799.3,856.3
5,12,129.2,156.9,75.6
5,13,23.5,25.4,13.0
5,14,16.9,17.2,9.1
5,15,87.1,104.5,50.7
5,16,61.5,72.7,35.5
5,17,1870.6,2323.0,1105.3
5,18,47.9,55.7,27.5
6,7,402.0,420.5,219.2
6,8,124.9,123.0,66.1
6,9,4316.4,4622.1,2380.8
6,10,786.2,832.9,431.4
6,11,4818.5,5161.1,2658.1
6,12,429.4,450.0,234.4
6,13,78.2,73.0,40.3
6,14,56.3,49.4,28.1
6,15,289.5,299.8,157.1
6,16,204.4,208.5,110.1
6,17,6218.0,6663.2,3430.9
6,18,159.2,159.9,85.1
7,8,351.1,330.7,181.7
7,9,12137.3,12424.5,6548.9
7,10,2210.6,2238.8,1186.5
7,11,13549.4,13873.4,7311.7
7,12,1207.6,1209.6,644.6
7,13,219.9,196.2,110.6
7,14,158.2,132.8,77.0
7,15,814.0,805.8,431.9
7,16,574.8,560.4,302.7
7,17,17484.6,17911.3,9437.5
7,18,447.5,429.7,233.8
8,9,3551.3,3858.8,1972.6
8,10,646.8,695.3,357.4
8,11,3964.4,4308.8,2202.4
8,12,353.3,375.7,194.2
8,13,64.3,60.9,33.4
8,14,46.3,41.2,23.3
8,15,238.2,250.3,130.2
8,16,168.2,174.0,91.2
8,17,5115.8,5562.9,2842.7
8,18,130.9,133.5,70.5
9,10,24297.8,24038.8,12889.4
9,11,148924.9,148961.7,79436.4
9,12,13272.6,12987.5,7001.9
9,13,2417.1,2106.1,1200.5
9,14,1738.6,1426.0,835.7
9,15,8947.4,8651.9,4691.8
9,16,6318.3,6016.6,3287.3
9,17,192177.5,192317.0,102531.9
9,18,4918.9,4613.9,2539.5
10,11,26835.4,27131.3,14390.7
10,12,2391.7,2365.5,1268.5
10,13,435.5,383.6,217.6
10,14,313.3,259.7,151.5
10,15,1612.3,1575.8,850.0
10,16,1138.5,1095.8,595.6
10,17,34629.3,35027.9,18574.6
10,18,886.4,840.4,460.1
11,12,14820.4,14498.4,7817.4
11,13,2698.9,2351.1,1340.3
11,14,1941.3,1591.9,933.0
11,15,9990.8,9658.5,5238.3
11,16,7055.1,6716.6,3670.2
11,17,214588.2,214690.9,114474.4
11,18,5492.5,5150.7,2835.3
12,13,235.3,209.5,118.2
12,14,169.3,141.9,82.3
12,15,871.1,860.8,461.8
12,16,615.1,598.6,323.6
12,17,18709.2,19133.9,10090.2
12,18,478.9,459.0,250.0
13,14,27.4,25.8,14.2
13,15,141.3,156.8,79.3
13,16,99.7,109.0,55.6
13,17,3034.0,3484.4,1729.9
13,18,77.7,83.6,42.9
14,15,95.6,112.8,55.2
14,16,67.5,78.4,38.7
14,17,2054.3,2506.4,1204.2
14,18,52.6,60.1,29.9
15,16,409.8,403.5,216.9
15,17,12463.6,12898.6,6761.3
15,18,319.0,309.5,167.6
16,17,8667.3,9108.5,4737.3
16,18,221.8,218.5,117.4
17,18,7091.2,6646.6,3659.6
