馬番1,馬番2,馬単(1→2),馬単(2→1),馬連
1,2,668.7,663.0,355.1
1,3,178.1,157.7,89.2
1,4,245.3,226.9,125.7
1,5,1633.2,1656.3,877.2
1,6,154.6,133.4,76.4
1,7,2842.9,2902.4,1531.9
1,8,188.2,168.0,94.7
1,9,1260.2,1272.2,675.3
1,10,2110.4,2147.8,1135.4
1,11,299.1,282.3,154.9
1,12,470.5,458.8,247.8
1,13,1441.6,1459.1,773.5
1,14,289.0,271.9,149.4
1,15,252.0,233.8,129.4
2,3,137.3,122.6,69.1
2,4,189.1,176.4,97.3
2,5,1258.6,1287.5,678.9
2,6,119.1,103.7,59.1
2,7,2191.0,2256.1,1185.6
2,8,145.0,130.6,73.3
2,9,971.2,988.9,522.6
2,10,1626.4,1669.6,878.8
2,11,230.5,219.4,119.9
2,12,362.6,356.6,191.8
2,13,1111.0,1134.2,598.7
2,14,222.7,211.3,115.7
2,15,194.2,181.7,100.2
3,4,45.0,47.0,24.5
3,5,299.3,342.9,170.5
3,6,28.3,27.6,14.9
3,7,521.0,600.9,297.7
3,8,34.5,34.8,18.5
3,9,231.0,263.4,131.3
3,10,386.8,444.7,220.6
3,11,54.8,58.4,30.2
3,12,86.2,95.0,48.2
3,13,264.2,302.1,150.3
3,14,53.0,56.3,29.1
3,15,46.2,48.4,25.2
4,5,430.7,472.3,240.3
4,6,40.8,38.0,21.0
4,7,749.8,827.6,419.6
4,8,49.6,47.9,26.0
4,9,332.4,362.8,185.0
4,10,556.6,612.5,311.0
4,11,78.9,80.5,42.5
4,12,124.1,130.8,67.9
4,13,380.2,416.1,211.9
4,14,76.2,77.5,41.0
4,15,66.5,66.7,35.5
5,6,297.6,253.3,146.0
5,7,5473.7,5509.9,2928.9
5,8,362.3,319.0,181.0
5,9,2426.3,2415.1,1291.0
5,10,4063.2,4077.5,2170.8
5,11,575.8,535.9,296.1
5,12,905.8,871.0,473.6
5,13,2775.7,2769.9,1478.8
5,14,556.4,516.1,285.6
5,15,485.3,443.9,247.3
6,7,441.0,521.5,254.9
6,8,29.2,30.2,15.8
6,9,195.5,228.6,112.4
6,10,327.3,385.9,188.9
6,11,46.4,50.7,25.8
6,12,73.0,82.4,41.3
6,13,223.6,262.2,128.7
6,14,44.8,48.9,24.9
6,15,39.1,42.0,21.6
7,8,634.9,555.3,316.0
7,9,4251.5,4204.1,2254.7
7,10,7119.8,7097.9,3791.4
7,11,1009.0,932.8,517.0
7,12,1587.2,1516.1,827.1
7,13,4863.7,4821.7,2582.7
7,14,975.0,898.5,498.8
7,15,850.3,772.7,431.8
8,9,246.2,278.3,139.3
8,10,412.2,469.8,234.2
8,11,58.4,61.7,32.0
8,12,91.9,100.4,51.2
8,13,281.6,319.2,159.6
8,14,56.5,59.5,30.9
8,15,49.2,51.1,26.8
9,10,3120.7,3146.2,1671.2
9,11,442.3,413.5,227.9
9,12,695.7,672.0,364.6
9,13,2131.8,2137.3,1138.4
9,14,427.4,398.3,219.9
9,15,372.7,342.5,190.4
10,11,746.7,692.4,383.2
10,12,1174.6,1125.4,613.1
10,13,3599.3,3579.2,1914.3
10,14,721.5,667.0,369.7
10,15,629.2,573.6,320.1
11,12,154.4,159.5,83.7
11,13,473.0,507.2,261.1
11,14,94.8,94.5,50.5
11,15,82.7,81.3,43.7
12,13,768.8,797.9,417.7
12,14,154.1,148.7,80.7
12,15,134.4,127.9,69.9
13,14,490.2,455.6,251.9
13,15,427.5,391.8,218.1
14,15,79.7,78.5,42.2
